Ville,Marque,Prévision_totale,Prévision_moyenne,Nombre_combinaisons
Djerba,CUKUROVA,1.48,1.48,1
Ben Arous,CNH,1.46,1.46,1
Tunis,CUKUROVA,1.4,1.4,1
Kebili,CATERPILLAR,1.4,1.4,1
Jendouba,JCB,1.38,1.38,1
Sfax,MST,1.37,1.37,1
Jendouba,HIDROMEK,1.37,1.37,1
Bizerte,ESCORTS LIMITED,1.37,1.37,1
Nabeul,BULL,1.36,1.36,1
Beja,BOBCAT,1.36,1.36,1
Zaghouan,CUKUROVA,1.35,1.35,1
Sfax,CUKUROVA,1.33,1.33,1
Nabeul,KOMATSU,1.33,1.33,1
Gabes,NEW HOLLAND,1.33,1.33,1
Beja,CASE,1.32,1.32,1
Monastir,JCB,1.32,1.32,1
Sfax,BULL,1.32,1.32,1
Kairouan,NEW HOLLAND,1.31,1.31,1
Zaghouan,BULL,1.31,1.31,1
Siliana,MAHINDRA,1.3,1.3,1
Kebili,HIDROMEK,1.29,1.29,1
Gafsa,NEW HOLLAND,1.28,1.28,1
Medenine,BULL,1.27,1.27,1
Manouba,JCB,1.27,1.27,1
Ben Arous,KOMATSU,1.27,1.27,1
Jendouba,CATERPILLAR,1.26,1.26,1
Kebili,MAHINDRA,1.26,1.26,1
Medenine,RIGOR,1.25,1.25,1
Monastir,BULL,1.25,1.25,1
Sidi Bouzid,JCB,1.24,1.24,1
Jendouba,NEW HOLLAND,1.24,1.24,1
Sfax,KOMATSU,1.23,1.23,1
Manouba,SDLG,1.22,1.22,1
Sidi Bouzid,KOMATSU,1.22,1.22,1
Siliana,KOMATSU,1.22,1.22,1
Monastir,SDLG,1.22,1.22,1
Le Kef,KOMATSU,1.22,1.22,1
Kairouan,MAXBULL,1.21,1.21,1
Jendouba,MAHINDRA,1.21,1.21,1
Monastir,ESCORTS LIMITED,1.21,1.21,1
Medenine,MAHINDRA,1.21,1.21,1
Gabes,ESCORTS LIMITED,1.2,1.2,1
Monastir,CASE,1.2,1.2,1
Le Kef,MAHINDRA,1.19,1.19,1
Bizerte,MAHINDRA,1.19,1.19,1
Siliana,JCB,1.18,1.18,1
Le Kef,CUKUROVA,1.18,1.18,1
Kasserine,CUKUROVA,1.18,1.18,1
Bizerte,MECALAC,1.18,1.18,1
Sidi Bouzid,BULL,1.17,1.17,1
Manouba,BOBCAT,1.17,1.17,1
Kairouan,BULL,1.17,1.17,1
Manouba,HIDROMEK,1.16,1.16,1
Jendouba,SDLG,1.16,1.16,1
Djerba,NEW HOLLAND,1.16,1.16,1
Siliana,SDLG,1.15,1.15,1
Sfax,SDLG,1.15,1.15,1
Manouba,ESCORTS LIMITED,1.15,1.15,1
Bizerte,SDLG,1.14,1.14,1
Siliana,BULL,1.14,1.14,1
Jendouba,CASE,1.13,1.13,1
Mahdia,BULL,1.13,1.13,1
Bizerte,KOMATSU,1.12,1.12,1
Bizerte,GEHL,1.12,1.12,1
Kairouan,GEHL,1.12,1.12,1
Jendouba,GEHL,1.11,1.11,1
Gafsa,MAHINDRA,1.11,1.11,1
Gabes,BOBCAT,1.11,1.11,1
Gabes,SDLG,1.11,1.11,1
Monastir,KOMATSU,1.11,1.11,1
Kebili,KOMATSU,1.1,1.1,1
Medenine,KOMATSU,1.1,1.1,1
Kebili,MECALAC,1.09,1.09,1
Manouba,KOMATSU,1.09,1.09,1
Gafsa,BULL,1.09,1.09,1
Kairouan,KOMATSU,1.08,1.08,1
Kasserine,ESCORTS LIMITED,1.08,1.08,1
Gafsa,CATERPILLAR,1.08,1.08,1
Jendouba,ESCORTS LIMITED,1.08,1.08,1
Kebili,MST,1.08,1.08,1
Jendouba,KOMATSU,1.07,1.07,1
Gabes,CUKUROVA,1.06,1.06,1
Gafsa,ESCORTS LIMITED,1.06,1.06,1
Kebili,GEHL,1.05,1.05,1
Gabes,MST,1.05,1.05,1
Gabes,KOMATSU,1.04,1.04,1
Kasserine,KOMATSU,1.03,1.03,1
Gafsa,KOMATSU,1.02,1.02,1
Kasserine,MECALAC,1.02,1.02,1
Gabes,GEHL,1.02,1.02,1
Gafsa,MST,1.01,1.01,1
